"","zip","FDID","name","address","city","state","location","latitude","longitude","geometry"
"58","91945","37100","Lemon Grove Fire Department","7853 Central AVE","Lemon Grove","CA","7853 Central AVE Lemon Grove, CA 91945",32.733451,-117.0337,c(-117.0337, 32.733451)
"59","91950","37110","National City Fire Department","343 E 16TH ST","National City","CA","343 E 16TH ST National City, CA 91950",32.670903,-117.09272,c(-117.09272, 32.670903)
"60","91978","37165","San Miguel Consolidated Fire Protection District","2850 Via Orange WAY","Spring Valley","CA","2850 Via Orange WAY Spring Valley, CA 91978",32.732539,-116.95091,c(-116.95091, 32.732539)
"61","92004","37015","Borrego Springs Fire Protection District","2324 Stirrup RD","Borrego Springs","CA","2324 Stirrup RD Borrego Springs, CA 92004",33.184028,-116.26597,c(-116.26597, 33.184028)
"62","92014","37050","Del Mar Fire Department","2200 Jimmy Durante BLVD","Del Mar","CA","2200 Jimmy Durante BLVD Del Mar, CA 92014",32.961812,-117.25967,c(-117.25967, 32.961812)
"63","92019","37224","Sycuan Fire Department","5449 Sycuan RD","El Cajon","CA","5449 Sycuan RD El Cajon, CA 92019",32.788736,-116.90487,c(-116.90487, 32.788736)
"64","92019","37555","California Department of Forestry and Fire Protection","2249 Jamacha  RD","El Cajon","CA","2249 Jamacha  RD El Cajon, CA 92019",32.788736,-116.90487,c(-116.90487, 32.788736)
"65","92020","37055","El Cajon Fire Department","100 E Lexington AVE","El Cajon","CA","100 E Lexington AVE El Cajon, CA 92020",32.7991,-116.97334,c(-116.97334, 32.7991)
"66","92020","37084","Heartland Fire and Rescue","100 E Lexington AVE","El Cajon","CA","100 E Lexington AVE El Cajon, CA 92020",32.7991,-116.97334,c(-116.97334, 32.7991)
"67","92021","37020","East County Fire Prevention District","1811 Suncrest BLVD","El Cajon","CA","1811 Suncrest BLVD El Cajon, CA 92021",32.8201,-116.91234,c(-116.91234, 32.8201)
"68","92024","37065","Encinitas Fire Department","505 S Vulcan AVE","Encinitas","CA","505 S Vulcan AVE Encinitas, CA 92024",33.053092,-117.26855,c(-117.26855, 33.053092)
"69","92025","37070","Escondido Fire Department","201 N Broadway","Escondido","CA","201 N Broadway Escondido, CA 92025",33.106862,-117.07077,c(-117.07077, 33.106862)
"70","92026","37148","Deer Springs Fire Protection District","8709 Circle R DR","Escondido","CA","8709 Circle R DR Escondido, CA 92026",33.181543,-117.11136,c(-117.11136, 33.181543)
"71","92028","37075","North County Fire Protection District","330 S Main AVE","Fallbrook","CA","330 S Main AVE Fallbrook, CA 92028",33.380359,-117.20605,c(-117.20605, 33.380359)
"72","92028","37052","De Luz Volunteer Fire Department","39536 Daily RD","Fallbrook","CA","39536 Daily RD Fallbrook, CA 92028",33.380359,-117.20605,c(-117.20605, 33.380359)
"73","92029","37057","Elfin Forest/ Harmony Grove Fire Department","20223 Elfin Forest RD","Escondido","CA","20223 Elfin Forest RD Escondido, CA 92029",33.087868,-117.11558,c(-117.11558, 33.087868)
"74","92036","","CDF Fire- Julian Battalion","1587 HWY 78","Julian","CA","1587 HWY 78 Julian, CA 92036",33.02757,-116.53109,c(-116.53109, 33.02757)
"75","92040","37090","Lakeside Fire Protection District","12216 Lakeside AVE","Lakeside","CA","12216 Lakeside AVE Lakeside, CA 92040",32.873849,-116.90477,c(-116.90477, 32.873849)
"76","92040","37007","Barona Fire Protection District","1112 Barona RD","Lakeside","CA","1112 Barona RD Lakeside, CA 92040",32.873849,-116.90477,c(-116.90477, 32.873849)
"77","92054","37115","Oceanside Fire Department","300 N Coast HWY","Oceanside","CA","300 N Coast HWY Oceanside, CA 92054",33.202463,-117.36077,c(-117.36077, 33.202463)
"78","92055","37820","Camp Pendleton Fire Department","PO Box 555211","Camp Pendleton","CA","PO Box 555211 Camp Pendleton, CA 92055",33.016928,-116.846046,c(-116.846046, 33.016928)
"79","92059","37113","Pala Fire Department","Pala Temecula Road","Pala","CA","Pala Temecula Road Pala, CA 92059",33.369249,-117.07236,c(-117.07236, 33.369249)
"80","92061","37215","Pauma Fire Department","800 Pauma Reservation RD","Pauma Valley","CA","800 Pauma Reservation RD Pauma Valley, CA 92061",33.311881,-116.96499,c(-116.96499, 33.311881)
"81","92064","37125","Poway Fire Department","13050 Community RD","Poway","CA","13050 Community RD Poway, CA 92064",32.973645,-117.03701,c(-117.03701, 32.973645)
"82","92065","37130","Ramona Fire Department","829 San Vicente RD","Ramona","CA","829 San Vicente RD Ramona, CA 92065",33.035844,-116.8513,c(-116.8513, 33.035844)
"83","92066","37940","Montezuma Valley Volunteer Fire Department","37370 Montezuma Valley RD","Ranchita","CA","37370 Montezuma Valley RD Ranchita, CA 92066",33.209313,-116.54244,c(-116.54244, 33.209313)
"84","92067","37135","Rancho Santa Fe Fire Protection District","16936 El Fuego","Rancho Santa Fe","CA","16936 El Fuego Rancho Santa Fe, CA 92067",33.016492,-117.20264,c(-117.20264, 33.016492)
"85","92069","37145","San Marcos Fire Department","1 Civic Center DR","San Marcos","CA","1 Civic Center DR San Marcos, CA 92069",33.144908,-117.17128,c(-117.17128, 33.144908)
"86","92070","37101","Mesa Grande Fire Department","2600 Mesa Grande RD","Santa Ysabel","CA","2600 Mesa Grande RD Santa Ysabel, CA 92070",33.166768,-116.71061,c(-116.71061, 33.166768)
"87","92071","37150","Santee Fire Department","10601 N Magnolia AVE","Santee","CA","10601 N Magnolia AVE Santee, CA 92071",32.84681,-116.98983,c(-116.98983, 32.84681)
"88","92075","37160","Solana Beach Fire Department","500 Lomas Santa Fe DR","Solana Beach","CA","500 Lomas Santa Fe DR Solana Beach, CA 92075",32.997543,-117.26087,c(-117.26087, 32.997543)
"89","92082","37175","Valley Center Fire Protection District","28234 Lilac RD","Valley Center","CA","28234 Lilac RD Valley Center, CA 92082",33.261748,-117.01027,c(-117.01027, 33.261748)
"90","92082","37219","Rincon Fire Department","33485 Valley Center RD","Valley Center","CA","33485 Valley Center RD Valley Center, CA 92082",33.261748,-117.01027,c(-117.01027, 33.261748)
"91","92082","37152","San Pasqual Reservation Fire Department","16150 Kumeyaay WAY","Valley Center","CA","16150 Kumeyaay WAY Valley Center, CA 92082",33.261748,-117.01027,c(-117.01027, 33.261748)
"92","92084","37170","Vista Fire Department","200 Civic Center DR","Vista","CA","200 Civic Center DR Vista, CA 92084",33.213309,-117.21474,c(-117.21474, 33.213309)
"93","92101","37140","City of San Diego Fire-Rescue Department","1010 2ND AVE STE 400","San Diego","CA","1010 2ND AVE STE 400 San Diego, CA 92101",32.719601,-117.16246,c(-117.16246, 32.719601)
"94","92113","37240","General Dynamics NASSCO - Fire Department","2798 East Harbor DR","San Diego","CA","2798 East Harbor DR San Diego, CA 92113",32.697402,-117.12001,c(-117.12001, 32.697402)
